source_file,sha256,bytes,classification,action,durable_landing,notes
PW_Canon_Decisions_Lock_2026-07-06_rev1-2.txt,dc4843d3f70ea8836e17d54850de0732bd6e2da9190a68606c634c9519deecca,3878,duplicate_stale_governance,evidence_only,,Duplicate July 6 snapshot; later main canon resolves its provisional/open items.
PW_Thread_Archive_Nick_Hawthorne_Signature_Shotgun_Reload_Animations_2026-07-25.txt,9394d0c9631c0539828041b5d4af88ed0205796fe7840ed724909158e494c1b6,8262,new_gameplay_character_handling,promoted,dev_src_docs/gameplay_mechanics/PW_Nick_Hawthorne_Competition_Shotgun_Handling_2026-07-25_rev1.txt,Halforn corrected to Hawthorne; pump-action sequence corrected.
PW_Thread_Archive_RIPTIDE_RED_Teaser_Key_Art_Compendium_Governance_2026-07-24.txt,230fb1b878fb91498242edb857f64ab94619f26fcab2efb9f6c0d184d93c0a36,39342,promotional_source_recovery,promoted,dev_src_docs/promotion/PW_RIPTIDE_RED_Game1_Teaser_and_Key_Art_2026-07-25_rev1.txt,Prior rev3/archival artifacts are historical; current source page preserves the durable promo decisions.
PW_Thread_Archive_Tears_in_the_Rain_TITR_2026-07-24-1.txt,ec90585a423d5cb6fd89ffc544620e7ccfc9870e8296b20a549da37942354649,31445,branding_source_recovery,promoted,dev_src_docs/branding/PW_TITR_Studio_and_Project_Warriors_Logo_Family_2026-07-25_rev1.txt,Correct name Tears in the Rain and abbreviation TITR.
Project_Warriors_Gameplay_Mechanics_Thread_Archive_2026-07-25-1.txt,1139ff0cc403d3c016fd8098e29bcc4ff80e181b697e41d41da94a31dbbeffb8,35017,gameplay_source_primary,promoted,dev_src_docs/gameplay_mechanics/PW_Gameplay_Mechanics_Refinement_Landing_2026-07-25_rev1.txt,Full opening mechanics plus acoustic/CQC development.
Project_Warriors_Gameplay_Mechanics_Thread_Archive_2026-07-25-3.txt,87a528b86c9cf02ef59909a6472e19def7f99bea0b475a5c7a27a76387e4916c,52836,gameplay_source_companion,promoted,dev_src_docs/gameplay_mechanics/PW_Gameplay_Mechanics_Refinement_Landing_2026-07-25_rev1.txt,Contains reconstructed opening plus verbatim approvals and Dead-Gunner Drill; reconciled with full companion archive.
Project_Warriors_IV_Logo_Thread_Archive_2026-07-25.txt,e1827fbce151e013d0b94a59a354062d8e5af53d136b0a711820362fd6579588,3254,visual_identity_recovery,promoted,dev_src_docs/branding/PW_TITR_Studio_and_Project_Warriors_Logo_Family_2026-07-25_rev1.txt,IV numeral dark navy near-black and slightly glossier; PNG already on main.
Project_Warriors_Logo_Design_Thread_Archive_2026-07-24-1.txt,bd0c7880c289a2862ce6c6e51a42fdd522a09c066a50d3f00ca3a452e810c090,7631,visual_identity_recovery,promoted,dev_src_docs/branding/PW_TITR_Studio_and_Project_Warriors_Logo_Family_2026-07-25_rev1.txt,I-II-III family and numeral color rules; PNGs already on main.
Project_Warriors_Nightfall_Damhaven_Thread_Transcript_2026-07-22.txt,c2cc62c4018450fd6d3c48bee7abd19c551cdcd428c3896085522eb8f2825481,116571,nightfall_worldbuilding_source,promoted,"dev_src_docs/worldbuilding/PW_Deluvia_Damhaven_Civic_Infrastructure_and_Public_Space_2026-07-25_rev1.txt; dev_src_docs/worldbuilding/PW_Freeport_of_Los_Angeles_2026-07-25_rev1.txt; dev_src_docs/story_campaigns/Nightfall/PW_Nightfall_Sakhalin_Transit_and_Deluvia_Continuity_2026-07-25_rev1.txt",Cheyenne Mountain authority remains existing rev4 source; new pages land missing continuity and civic systems.
Project_Warriors_Thread_Archive_Character_Storyline_Types_2026-07-25.txt,99eabb551fc5b47ce8064be6ed80b4acde954c156c5d611d0413614465bfea6a,9454,narrative_structure_source,promoted,dev_src_docs/canon_lore_source_of_truth/PW_Character_Storyline_Relationship_Taxonomy_2026-07-25_rev1.txt,Prose authority complements existing ontology touchpoint terms.
Project_Warriors_Thread_Archive_Hasta_La_Vista_Foregrip_Revision_2026-07-25.txt,c72305cd82144a990d82a68b0b89a1f6b7888abe3aa644b8611ddcbcffbdc032,6097,named_weapon_configuration_update,promoted,dev_src_docs/weapons_and_equipment/HASTA_LA_VISTA_Fore_End_Revision_2026-07-25_rev1.txt,Only fore-end grip arrangement superseded; image IDs retained as provenance.
Project_Warriors_Thread_Archive_Music_for_Scene_2026-07-25.txt,30843c507faa2b08cde80ac0edcb7a31c552446d170811f5d9ebdc0fa02d7fc0,2776,diegetic_music_update,promoted,dev_src_docs/audio/PW_Diegetic_Music_Placement_Network_2026-07-25_rev2.txt,Sunroof placement for Rhino 6 pre-ambush scene; licensing-dependent.
Thread_Archive_Danish_Frogmen_Image_Request-2.txt,620d756a7444098f7a19206739e638a63036ba69bb37ab192ae4344d349712e4,1017,no_project_content,intentionally_dropped,,Image generation failed; no lore/canon/design outcome.
