index,filename,sha256,bytes,messages,human_messages,assistant_messages,classification,durable_action,supersession_notes
1,01_2026-03-28_Three_campaign_story_narrative_overview.txt,40333d517ac7e5773e941f59818ae03f3f38288aece75ac54354f092c726c810,481373,57,28,29,PARTIAL_PROMOTION,Ducky opening/infrastructure source; Game1 packet rank correction,Later Game1/rank sources control
2,02_2026-03-30_Story_development_sandbox_for_worldbuilding.txt,d090d4478d89104509a53a72a4e946df1e9153249ce1ea7936ca4874658523ed,1172774,142,71,71,MAJOR_PROMOTION,"American Freedom, Glushkin, aircraft provenance",Later Game3/fire-support and current titles control
3,03_2026-03-31_Promotional_teaser_concepts_for_game_campaigns.txt,4675be09a3b4bf7f5ab494c23fdcfd8fffa9c47dae400cd06c0c41f7cb883bb7,106085,32,16,16,MAJOR_PROMOTION,Full Game2 teaser treatments,Persistent Threat replaces campaign-title AEGIS Falls; licensing open
4,04_2026-04-01_Campaign_timeline_world_building.txt,46de279c09b345c7b68e92a0f8329fbf0a99f2d0034b13a57f90b232ccd0102c,92381,6,3,3,ABSORBED_SUPERSEDED,No direct source landing,Current timeline/date/title sources control
5,05_2026-04-02_Third_game_campaign_story_development.txt,b3b3f43a6b9115a0e8b1aaddfc899d72b3fc17f2a186c2acdaa3c3c57bd9a4f2,308567,62,31,31,ABSORBED_SUPERSEDED,No direct source landing,Current NO KINGS/FAILSAFE/DARK SKIES sources control
6,06_2026-04-03_Project_Warriors_meta_and_small_discussion_thread.txt,6cda6025ec64ba2a6d17642d9bbf197bdb1c133db64a6088e91ec84a332f1d6a,1078299,202,101,101,PARTIAL_PROMOTION,Aircraft provenance addendum,Later aircraft and mission sources control
7,07_2026-04-03_Storing_and_developing_character_backstories.txt,7a1473ce3188f8b2c153206e176b5c16a63b3207ad0655432af3a418433d8d0a,313776,82,42,40,ABSORBED_SUPERSEDED,No direct source landing,Current character and DLC sources control
8,08_2026-04-03_ARCHIVED_Project_warriors_gameplay_mechanics_discussion.txt,4d53a5caccc805c66a0723b169382082872c26677889e363adb8256fdf77ee87,350230,72,36,36,ABSORBED_BY_PR30,No new source landing,PR30 weapon/gameplay recovery pages control
9,09_2026-04-03_Music_and_sound_design_for_Project_Warrior.txt,6968cf850d1fcce878f4a22eebef0e4409c246fe4c6e6fab7df6d9f2b46be3f4,789315,106,53,53,PARTIAL_PROMOTION,Full teaser treatments,PR30 compact audio standard remains shared authority
10,10_2026-04-05_Technical_deep_dive_into_Pandora.txt,9ecb1072893ddfaa628879d8199bceed784fa0ac1b50bb111bef2050dc231889,660699,98,49,49,MAJOR_PROMOTION,Full PANDORA/TETHERBREAK architecture,September 7/September 4 corrections applied
11,11_2026-04-06_EXPORTED_Advanced_gameplay_mechanics_for_Project_Warriors.txt,f2f0f0751d20867082371cd03846e5a0d837a622a556a22fe5b48f1a7c6ca594,103624,6,3,3,ABSORBED_BY_PR30,No new source landing,PR30 advanced mechanics recovery evidence controls
12,12_2026-04-06_Finding_closed_air_support_documentation.txt,b0786e2fe18f5446048ed8d61d5e0c07c45082ba16b63689caf63412c34dad4d,50973,4,2,2,AUDITED_NO_DIRECT_LANDING,No direct source landing,CAS implementation remains open; current mission sources control
13,13_2026-04-06_Campaign_timeline_for_games_one_and_two.txt,58dc37b61f8ce4e60191925ce464a9b46e8e93bf818ca39322c7e1f0fd67caff,166050,7,3,4,ABSORBED_SUPERSEDED,No direct source landing,Current ontology/timeline and campaign packets control
14,14_2026-04-06_Pandora_attack_narrative_scene_development.txt,f32117258fc0df4729c081923be56681ac501f19d9cc5064b063b8c70cb3f521,25420,2,1,1,AUDITED_OPEN_EVIDENCE,No direct source landing,Incomplete narrative scene development; technical source controls
15,15_2026-04-07_EXPORTED_DLC_concept_for_cartel_focused_story.txt,5786b094ce857158b70470f9ac4bc6c4a873185179778ec6e4b75a59af5b2d7f,29727,2,1,1,ABSORBED_SUPERSEDED,No direct source landing,Project Warriors: Wasp and later DLC sources control
16,16_2026-07-06_Warriors_trilogy_narrative_review_and_gap_analysis.txt,566155ff42ce177ec61362f9ae818c07b5a8a821603a152d6e6f4c465fb3c23a,667770,22,11,11,ABSORBED_BY_LATER_SOURCE,No direct source landing,PR16 and later July sources control
17,17_2026-07-06_Resolving_five_open_development_flags.txt,7cc293c55fd441dde60220a391c786da079cf3d6f37969c8ceba803a2fd7bd71,164256,14,7,7,ABSORBED_BY_LATER_SOURCE,No direct source landing,Current rank/title and canon-decision pages control
